PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
YKSxY,6k1/pb4pp/1p6/4P3/8/5NK1/PP2r1PP/R7 w - - 1 25,a1e1 b7f3 e1e2 f3e2,1264,77,90,339,advantage endgame short,https://lichess.org/ifa7z952#49
YKT5W,r1b1k2r/pp1n1ppp/4pn2/q2p2B1/1bPP4/PQN2N2/1P3PPP/R3KB1R b KQkq - 0 9,f6e4 b3b4 a5b4 a3b4,1576,75,87,566,crushing middlegame short,https://lichess.org/JdIPtnMC/black#18
YKT9m,2N1kb1r/rpB2ppp/p3p3/3b4/8/8/PP3PPP/2KR3R b - - 1 20,a7a8 c8b6 f8c5 b6a8,1757,97,79,32,advantage middlegame short,https://lichess.org/ChQavBGI/black#40
YKTO6,6k1/3n4/2n1p3/2PpP3/1r1P1Q2/1P3N2/2qR1K1P/8 b - - 4 35,c2b3 f4g4 g8f8 g4e6,2262,83,83,160,advantage middlegame short,https://lichess.org/NqU8ZNot/black#70
YKTl3,r2k3r/ppp1bppp/2q5/8/3PRBQ1/8/PPn3PP/2R3K1 b - - 4 18,c6e4 f4c7 d8c7 g4e4,1414,76,98,1799,advantage discoveredAttack middlegame pin short,https://lichess.org/vUQ4jciE/black#36
YKTla,1br4k/pb4pp/1p3p2/2pP4/5P2/1Pq1B2P/P3Q1P1/R2R2K1 w - - 0 27,d1d3 c3a1 d3d1 a1c3,1408,77,82,74,crushing hangingPiece middlegame short,https://lichess.org/8dTbXj6v#53
YKU5s,4r1k1/6p1/3p1pP1/3PqP1Q/bp6/rBb1B3/2P2K2/3R2R1 b - - 2 34,a4b3 h5h7 g8f8 h7h8 f8e7 h8g7 e7d8 e3b6 d8c8 g7c7,1402,77,91,761,deflection mate mateIn5 middlegame veryLong,https://lichess.org/g6mAZiTJ/black#68
YKU5u,3r1rk1/p4p1p/6p1/1p2n1P1/4Np2/4bB1R/PP1qN2P/4RK2 b - - 5 26,d2b2 e4f6 g8g7 h3h7,1143,105,100,45,hookMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/XIEZRVUW/black#52
YKUNs,4r1k1/p4p1p/3p1Qp1/1pp4P/5P2/q3P3/4RK2/8 b - - 0 35,e8e6 f6d8 g8g7 h5h6 g7h6 d8f8,1560,76,77,115,attraction crushing endgame long,https://lichess.org/ZjjYj2Xd/black#70
YKUaN,1R6/3kr3/4p1p1/3nBp2/p7/Pb3K1P/5PP1/8 b - - 8 45,e7h7 b8b7 d7c6 b7h7,1291,79,83,73,advantage endgame short skewer,https://lichess.org/Ai2bS7ev/black#90
